passport_id;user_id;serial_number;who_release;date_release;address_registration
1;1;1111111111;426668, г. Ижевск, ул. Дачная, 14, оф. 16;1989-05-01;426668, г. Ижевск, ул. Дачная, 14, оф. 16
2;2;1111111112;394370, г. Воронеж, ул. Маяковского, 13, оф. 26;1989-05-02;394370, г. Воронеж, ул. Маяковского, 13, оф. 26
3;3;1111111113;426489, г. Ижевск, ул. 8 Марта, 19, оф. 86;1989-05-03;426489, г. Ижевск, ул. 8 Марта, 19, оф. 86
4;4;1111111114;426907, г. Ижевск, ул. Родниковая, 36, оф. 5;1989-05-04;426907, г. Ижевск, ул. Родниковая, 36, оф. 5
5;5;1111111115;644078, г. Омск, ул. Родниковая, 50, оф. 32;1989-05-05;644078, г. Омск, ул. Родниковая, 50, оф. 32
6;6;1111111116;125050, г. Москва, ул. Речная, 9, оф. 66;1989-05-06;125050, г. Москва, ул. Речная, 9, оф. 66
7;7;1111111117;630828, г. Новосибирск, ул. Заречная, 42, оф. 99;1989-05-07;630828, г. Новосибирск, ул. Заречная, 42, оф. 99
8;8;1111111118;410112, г. Саратов, ул. Степная, 29, оф. 5;1989-05-08;410112, г. Саратов, ул. Степная, 29, оф. 5
9;9;1111111119;190793, г. Санкт-Петербург, ул. Партизанская, 27, оф. 7;1989-05-09;190793, г. Санкт-Петербург, ул. Партизанская, 27, оф. 7
10;10;1111111120;450770, г. Уфа, ул. Энергетиков, 12, оф. 64;1989-05-10;450770, г. Уфа, ул. Энергетиков, 12, оф. 64
11;11;1111111121;350354, г. Краснодар, ул. Дружбы, 2, оф. 15;1989-05-11;350354, г. Краснодар, ул. Дружбы, 2, оф. 15
12;12;1111111122;125748, г. Москва, ул. Строителей, 25, оф. 100;1989-05-12;125748, г. Москва, ул. Строителей, 25, оф. 100
13;13;1111111123;450854, г. Уфа, ул. Лермонтова, 33, оф. 73;1989-05-13;450854, г. Уфа, ул. Лермонтова, 33, оф. 73
14;14;1111111124;614869, г. Пермь, ул. Лесная, 41, оф. 32;1989-05-14;614869, г. Пермь, ул. Лесная, 41, оф. 32
15;15;1111111125;350239, г. Краснодар, ул. Ленина, 49, оф. 96;1989-05-15;350239, г. Краснодар, ул. Ленина, 49, оф. 96
16;16;1111111126;394616, г. Воронеж, ул. Чкалова, 18, оф. 52;1989-05-16;394616, г. Воронеж, ул. Чкалова, 18, оф. 52
17;17;1111111127;190554, г. Санкт-Петербург, ул. Кооперативная, 44, оф. 38;1989-05-17;190554, г. Санкт-Петербург, ул. Кооперативная, 44, оф. 38
18;18;1111111128;454749, г. Челябинск, ул. Механизаторов, 11, оф. 22;1989-05-18;454749, г. Челябинск, ул. Механизаторов, 11, оф. 22
19;19;1111111129;344386, г. Ростов-на-Дону, ул. Овражная, 37, оф. 65;1989-05-19;344386, г. Ростов-на-Дону, ул. Овражная, 37, оф. 65
20;20;1111111130;630957, г. Новосибирск, ул. Матросова, 14, оф. 36;1989-05-20;630957, г. Новосибирск, ул. Матросова, 14, оф. 36
21;21;1111111131;614889, г. Пермь, ул. Дорожная, 32, оф. 8;1989-05-21;614889, г. Пермь, ул. Дорожная, 32, оф. 8
22;22;1111111132;454661, г. Челябинск, ул. Почтовая, 35, оф. 9;1989-05-22;454661, г. Челябинск, ул. Почтовая, 35, оф. 9
23;23;1111111133;443247, г. Самара, ул. Нагорная, 12, оф. 24;1989-05-23;443247, г. Самара, ул. Нагорная, 12, оф. 24
24;24;1111111134;400613, г. Волгоград, ул. Мичурина, 28, оф. 10;1989-05-24;400613, г. Волгоград, ул. Мичурина, 28, оф. 10
25;25;1111111135;454049, г. Челябинск, ул. Механизаторов, 49, оф. 27;1989-05-25;454049, г. Челябинск, ул. Механизаторов, 49, оф. 27
26;26;1111111136;454915, г. Челябинск, ул. Мира, 48, оф. 25;1989-05-26;454915, г. Челябинск, ул. Мира, 48, оф. 25
27;27;1111111137;445964, г. Тольятти, ул. Пионерская, 15, оф. 50;1989-05-27;445964, г. Тольятти, ул. Пионерская, 15, оф. 50
28;28;1111111138;625694, г. Тюмень, ул. Центральная, 4, оф. 14;1989-05-28;625694, г. Тюмень, ул. Центральная, 4, оф. 14
29;29;1111111139;625074, г. Тюмень, ул. Больничная, 16, оф. 3;1989-05-29;625074, г. Тюмень, ул. Больничная, 16, оф. 3
30;30;1111111140;603636, г. Нижний Новгород, ул. Вишневая, 37, оф. 40;1989-05-30;603636, г. Нижний Новгород, ул. Вишневая, 37, оф. 40
31;31;1111111141;443247, г. Самара, ул. Лермонтова, 34, оф. 93;1989-05-31;443247, г. Самара, ул. Лермонтова, 34, оф. 93
32;32;1111111142;614155, г. Пермь, ул. Овражная, 27, оф. 61;1989-06-01;614155, г. Пермь, ул. Овражная, 27, оф. 61
33;33;1111111143;344664, г. Ростов-на-Дону, ул. Центральная, 50, оф. 60;1989-06-02;344664, г. Ростов-на-Дону, ул. Центральная, 50, оф. 60
34;34;1111111144;614922, г. Пермь, ул. Заводская, 9, оф. 99;1989-06-03;614922, г. Пермь, ул. Заводская, 9, оф. 99
35;35;1111111145;630537, г. Новосибирск, ул. Горького, 28, оф. 4;1989-06-04;630537, г. Новосибирск, ул. Горького, 28, оф. 4
36;36;1111111146;630245, г. Новосибирск, ул. Победы, 30, оф. 40;1989-06-05;630245, г. Новосибирск, ул. Победы, 30, оф. 40
37;37;1111111147;426559, г. Ижевск, ул. Центральная, 18, оф. 87;1989-06-06;426559, г. Ижевск, ул. Центральная, 18, оф. 87
38;38;1111111148;603739, г. Нижний Новгород, ул. Солнечная, 1, оф. 48;1989-06-07;603739, г. Нижний Новгород, ул. Солнечная, 1, оф. 48
39;39;1111111149;350941, г. Краснодар, ул. Зеленая, 6, оф. 74;1989-06-08;350941, г. Краснодар, ул. Зеленая, 6, оф. 74
40;40;1111111150;420632, г. Казань, ул. Светлая, 31, оф. 13;1989-06-09;420632, г. Казань, ул. Светлая, 31, оф. 13
41;41;1111111151;603929, г. Нижний Новгород, ул. Коммунистическая, 39, оф. 90;1989-06-10;603929, г. Нижний Новгород, ул. Коммунистическая, 39, оф. 90
42;42;1111111152;420385, г. Казань, ул. Школьная, 31, оф. 63;1989-06-11;420385, г. Казань, ул. Школьная, 31, оф. 63
43;43;1111111153;420379, г. Казань, ул. Солнечная, 38, оф. 84;1989-06-12;420379, г. Казань, ул. Солнечная, 38, оф. 84
44;44;1111111154;445596, г. Тольятти, ул. Чапаева, 33, оф. 14;1989-06-13;445596, г. Тольятти, ул. Чапаева, 33, оф. 14
45;45;1111111155;614521, г. Пермь, ул. Садовая, 20, оф. 31;1989-06-14;614521, г. Пермь, ул. Садовая, 20, оф. 31
46;46;1111111156;394863, г. Воронеж, ул. Мичурина, 7, оф. 17;1989-06-15;394863, г. Воронеж, ул. Мичурина, 7, оф. 17
47;47;1111111157;445509, г. Тольятти, ул. Верхняя, 42, оф. 3;1989-06-16;445509, г. Тольятти, ул. Верхняя, 42, оф. 3
48;48;1111111158;344663, г. Ростов-на-Дону, ул. Победы, 45, оф. 80;1989-06-17;344663, г. Ростов-на-Дону, ул. Победы, 45, оф. 80
49;49;1111111159;344327, г. Ростов-на-Дону, ул. Красная, 5, оф. 49;1989-06-18;344327, г. Ростов-на-Дону, ул. Красная, 5, оф. 49
50;50;1111111160;445742, г. Тольятти, ул. Пушкина, 27, оф. 12;1989-06-19;445742, г. Тольятти, ул. Пушкина, 27, оф. 12
51;51;1111111161;426470, г. Ижевск, ул. Юбилейная, 41, оф. 28;1989-06-20;426470, г. Ижевск, ул. Юбилейная, 41, оф. 28
52;52;1111111162;400864, г. Волгоград, ул. Мира, 7, оф. 65;1989-06-21;400864, г. Волгоград, ул. Мира, 7, оф. 65
53;53;1111111163;603065, г. Нижний Новгород, ул. Родниковая, 50, оф. 52;1989-06-22;603065, г. Нижний Новгород, ул. Родниковая, 50, оф. 52
54;54;1111111164;350663, г. Краснодар, ул. Почтовая, 12, оф. 27;1989-06-23;350663, г. Краснодар, ул. Почтовая, 12, оф. 27
55;55;1111111165;630345, г. Новосибирск, ул. Лесная, 44, оф. 56;1989-06-24;630345, г. Новосибирск, ул. Лесная, 44, оф. 56
56;56;1111111166;394498, г. Воронеж, ул. Заводская, 10, оф. 63;1989-06-25;394498, г. Воронеж, ул. Заводская, 10, оф. 63
57;57;1111111167;350546, г. Краснодар, ул. Московская, 16, оф. 96;1989-06-26;350546, г. Краснодар, ул. Московская, 16, оф. 96
58;58;1111111168;620529, г. Екатеринбург, ул. Октябрьская, 29, оф. 83;1989-06-27;620529, г. Екатеринбург, ул. Октябрьская, 29, оф. 83
59;59;1111111169;400125, г. Волгоград, ул. Ленина, 46, оф. 64;1989-06-28;400125, г. Волгоград, ул. Ленина, 46, оф. 64
60;60;1111111170;603044, г. Нижний Новгород, ул. 1 Мая, 10, оф. 27;1989-06-29;603044, г. Нижний Новгород, ул. 1 Мая, 10, оф. 27
61;61;1111111171;660712, г. Красноярск, ул. Колхозная, 7, оф. 47;1989-06-30;660712, г. Красноярск, ул. Колхозная, 7, оф. 47
62;62;1111111172;454808, г. Челябинск, ул. Красная, 21, оф. 58;1989-07-01;454808, г. Челябинск, ул. Красная, 21, оф. 58
63;63;1111111173;660197, г. Красноярск, ул. Степная, 40, оф. 87;1989-07-02;660197, г. Красноярск, ул. Степная, 40, оф. 87
