user_id;fio;passport;birthday;sex;address;phone;email;place_work;photo
1;Хондажевский Семен Максимович;1111111111;1989-05-01;мужской;426668, г. Ижевск, ул. Дачная, 14, оф. 16;79521864790;yczxchlv93@aol.com;"ООО ""Прямой кодекс""";
2;Калатозов Марат Николаевич;1111111112;1989-05-02;мужской;394370, г. Воронеж, ул. Маяковского, 13, оф. 26;79253214381;vvqxrlvt82@mail.ru;"ООО ""Ослепительный язык""";
3;Самосов Ильдар Робертович;1111111113;1989-05-03;мужской;426489, г. Ижевск, ул. 8 Марта, 19, оф. 86;79850093660;ndqpzomb34@mail.ru;"ООО ""Практика""";
4;Арефьев Яков Константинович;1111111114;1989-05-04;мужской;426907, г. Ижевск, ул. Родниковая, 36, оф. 5;79045197523;avvatwdu94@yandex.ru;"ООО ""Тотальное требование""";
5;Олялин Данил Антонович;1111111115;1989-05-05;мужской;644078, г. Омск, ул. Родниковая, 50, оф. 32;79340314116;mkrwyinr71@gmail.com;"ООО ""Райская вершина""";
6;Шайкенов Владимир Русланович;1111111116;1989-05-06;мужской;125050, г. Москва, ул. Речная, 9, оф. 66;79604178529;efwayyjt11@yandex.ru;"ООО ""Безмятежная область""";
7;Гривин Эдуард Ярославович;1111111117;1989-05-07;мужской;630828, г. Новосибирск, ул. Заречная, 42, оф. 99;79282489679;bhmullzl88@yahoo.com;"ООО ""Арктический металл""";
8;Ратушный Ильдар Георгиевич;1111111118;1989-05-08;мужской;410112, г. Саратов, ул. Степная, 29, оф. 5;79546439253;sdanyenk36@bk.ru;"ООО ""Безудержное предложение""";
9;Донсков Антон Дмитриевич;1111111119;1989-05-09;мужской;190793, г. Санкт-Петербург, ул. Партизанская, 27, оф. 7;79684215827;tyxhhtoy21@gmail.com;"ПАО ""Идея""";
10;Храпов Юрий Станиславович;1111111120;1989-05-10;мужской;450770, г. Уфа, ул. Энергетиков, 12, оф. 64;79556285897;nozzlnla64@yandex.ru;"ООО ""Неделя""";
11;Килибаев Эдуард Яковлев;1111111121;1989-05-11;мужской;350354, г. Краснодар, ул. Дружбы, 2, оф. 15;79976488167;ylescuxz62@mail.ru;"ООО ""Космический взгляд""";
12;Опраксин Владимир Филиппович;1111111122;1989-05-12;мужской;125748, г. Москва, ул. Строителей, 25, оф. 100;79268739961;zwnqearc32@list.ru;"ООО ""Пламенная безопасность""";
13;Ботнарюк Максим Денисович;1111111123;1989-05-13;мужской;450854, г. Уфа, ул. Лермонтова, 33, оф. 73;79265793317;pwgrchzd3@gmail.com;"ООО ""Хороший канал""";
14;Полевых Роберт Кириллович;1111111124;1989-05-14;мужской;614869, г. Пермь, ул. Лесная, 41, оф. 32;79295786827;yoiskzet74@list.ru;"ООО ""Неоценимая сторона""";
15;Абдрафиков Николай Валерьевич;1111111125;1989-05-15;мужской;350239, г. Краснодар, ул. Ленина, 49, оф. 96;79337130223;lwmznpyv85@mail.ru;"ООО ""Профессия""";
16;Хаймин Григорий Русланович;1111111126;1989-05-16;мужской;394616, г. Воронеж, ул. Чкалова, 18, оф. 52;79273591608;elkltlim63@yahoo.com;"ООО ""Техника""";
17;Федотчев Павел Андреевич;1111111127;1989-05-17;мужской;190554, г. Санкт-Петербург, ул. Кооперативная, 44, оф. 38;79316463935;yayevoeo26@list.ru;"АО ""Канал""";
18;Совин Борис Юрьевич;1111111128;1989-05-18;мужской;454749, г. Челябинск, ул. Механизаторов, 11, оф. 22;79316030293;xfvebfjr32@yahoo.com;"ООО ""Состав""";
19;Кайсин Данил Глебович;1111111129;1989-05-19;мужской;344386, г. Ростов-на-Дону, ул. Овражная, 37, оф. 65;79092121506;hulckuvp6@hotmail.com;"ООО ""Песня""";
20;Гомоюнов Тимофей Кириллович;1111111130;1989-05-20;мужской;630957, г. Новосибирск, ул. Матросова, 14, оф. 36;79683988156;udwjpsce97@hotmail.com;"ПАО ""Результат""";
21;Бобяк Филипп Петрович;1111111131;1989-05-21;мужской;614889, г. Пермь, ул. Дорожная, 32, оф. 8;79665616957;vugypcol10@internet.ru;"ООО ""Сумка""";
22;Чигрин Борис Павлович;1111111132;1989-05-22;мужской;454661, г. Челябинск, ул. Почтовая, 35, оф. 9;79137625872;gdnzelic87@gmail.com;"ООО ""Записной подход""";
23;Скубченко Рамиль Станиславович;1111111133;1989-05-23;мужской;443247, г. Самара, ул. Нагорная, 12, оф. 24;79252836457;eqhygmec4@bk.ru;"ООО ""Экстраординарный знак""";
24;Лошинский Герман Вадимович;1111111134;1989-05-24;мужской;400613, г. Волгоград, ул. Мичурина, 28, оф. 10;79083959023;zmrvccxn71@bk.ru;"ООО ""Жизненная скорость""";
25;Ферапонтов Тимофей Валентинович;1111111135;1989-05-25;мужской;454049, г. Челябинск, ул. Механизаторов, 49, оф. 27;79202863325;fvelitja41@yandex.ru;"ООО ""Таблица""";
26;Вальховский Владислав Янович;1111111136;1989-05-26;мужской;454915, г. Челябинск, ул. Мира, 48, оф. 25;79709721778;vygpxedc95@list.ru;"ООО ""Комната""";
27;Толстопалов Максим Анатольевич;1111111137;1989-05-27;мужской;445964, г. Тольятти, ул. Пионерская, 15, оф. 50;79221488898;sccdrazp9@list.ru;"ООО ""Зал""";
28;Чуйкин Юрий Радикович;1111111138;1989-05-28;мужской;625694, г. Тюмень, ул. Центральная, 4, оф. 14;79635588576;bhsysean78@yandex.ru;"ООО ""Дерево""";
29;Вендров Дмитрий Геннадьевич;1111111139;1989-05-29;мужской;625074, г. Тюмень, ул. Больничная, 16, оф. 3;79275811829;xcbicjbb12@yandex.ru;"ООО ""Всесторонний кабинет""";
30;Ховреин Антон Валерьевич;1111111140;1989-05-30;мужской;603636, г. Нижний Новгород, ул. Вишневая, 37, оф. 40;79226100310;jtcnjowd7@yahoo.com;"ООО ""Ремонт""";
31;Уяздовский Дмитрий Яковлев;1111111141;1989-05-31;мужской;443247, г. Самара, ул. Лермонтова, 34, оф. 93;79209477118;cmareabx90@yandex.ru;"АО ""Роман""";
32;Катрин Геннадий Иванович;1111111142;1989-06-01;мужской;614155, г. Пермь, ул. Овражная, 27, оф. 61;79056424936;utcftxfy97@bk.ru;"ООО ""Бесконечная квартира""";
33;Дуров Алексей Ярославович;1111111143;1989-06-02;мужской;344664, г. Ростов-на-Дону, ул. Центральная, 50, оф. 60;79970421146;tvbnzwdl93@bk.ru;"ООО ""Великий мир""";
34;Алдохин Степан Янович;1111111144;1989-06-03;мужской;614922, г. Пермь, ул. Заводская, 9, оф. 99;79298345785;srheavrd1@hotmail.com;"ООО ""Средство""";
35;Брянчанинов Сергей Сергеевич;1111111145;1989-06-04;мужской;630537, г. Новосибирск, ул. Горького, 28, оф. 4;79684944869;pnlxctpq37@mail.ru;"ООО ""Голос""";
36;Ситько Артур Валерьевич;1111111146;1989-06-05;мужской;630245, г. Новосибирск, ул. Победы, 30, оф. 40;79145371635;cdimfqyh38@mail.ru;"ООО ""Глубокая трава""";
37;Козадой Вячеслав Вадимович;1111111147;1989-06-06;мужской;426559, г. Ижевск, ул. Центральная, 18, оф. 87;79948253627;bylchuyz41@gmail.com;"ООО ""Редкая величина""";
38;Тюрякулов Олег Юрьевич;1111111148;1989-06-07;мужской;603739, г. Нижний Новгород, ул. Солнечная, 1, оф. 48;79924700350;ewwhdwrp40@gmail.com;"АО ""Космическая одежда""";
39;Теренин Егор Андреевич;1111111149;1989-06-08;мужской;350941, г. Краснодар, ул. Зеленая, 6, оф. 74;79789430100;goxfzkug64@yahoo.com;"ООО ""Щедрая улыбка""";
40;Базылевич Герман Олегович;1111111150;1989-06-09;мужской;420632, г. Казань, ул. Светлая, 31, оф. 13;79994021635;owizesyf34@inbox.ru;"ООО ""Формула""";
41;Жабенков Сергей Никитович;1111111151;1989-06-10;мужской;603929, г. Нижний Новгород, ул. Коммунистическая, 39, оф. 90;79213828708;dlaphadp52@yandex.ru;"ООО ""Полный рост""";
42;Однопольцев Анатолий Ефимович;1111111152;1989-06-11;мужской;420385, г. Казань, ул. Школьная, 31, оф. 63;79288431131;bhwknywh61@hotmail.com;"ООО ""Ювелирный набор""";
43;Романский Максим Данилович;1111111153;1989-06-12;мужской;420379, г. Казань, ул. Солнечная, 38, оф. 84;79019300952;enzalksk41@aol.com;"ПАО ""Безраздельный повод""";
44;Варфоломеев Степан Ефимович;1111111154;1989-06-13;мужской;445596, г. Тольятти, ул. Чапаева, 33, оф. 14;79912269535;zimxzmxv49@aol.com;"ПАО ""След""";
45;Тарновский Игорь Федорович;1111111155;1989-06-14;мужской;614521, г. Пермь, ул. Садовая, 20, оф. 31;79216672567;fziqtowx81@yahoo.com;"ООО ""Неистощимая голова""";
46;Павлыгин Ринат Маратович;1111111156;1989-06-15;мужской;394863, г. Воронеж, ул. Мичурина, 7, оф. 17;79642722041;thphmlwu43@gmail.com;"ООО ""Громкая база""";
47;Мухамедиев Евгений Михаилович;1111111157;1989-06-16;мужской;445509, г. Тольятти, ул. Верхняя, 42, оф. 3;79148007908;poksugir48@aol.com;"ООО ""Фантастическая формула""";
48;Вахрамеев Игорь Тимофеевич;1111111158;1989-06-17;мужской;344663, г. Ростов-на-Дону, ул. Победы, 45, оф. 80;79585880265;cpfuatul31@gmail.com;"ООО ""Остров""";
