doctor_id;fio;phone;specialty;birthday;experience;login;password;cabinet
1;Давыдова Анжелика Филипповна;79213098509;Хирург;1980-09-09;6;KelenToison;Contumacious;1
2;Бодулева Ксения Вадимовна;79219671102;Онколог;1980-10-15;4;Vermicious;Trepang;2
3;Чернуха Раиса Германовна;79217954929;Терапевт;1980-11-20;8;Astrogeology;Pachyglossal;3
4;Церенова Жанна Леонидовна;79214860326;Гинеколог;1980-12-26;4;Busybody;Henpeck;4
5;Буркун Никита Вячеславович;79213559546;Уролог;1981-01-31;3;Antistrophe;Mutative;5
6;Елева Наталья Яковлевна;79210372392;Офтальмолог;1981-03-08;3,2;Bumbledom;Vortex3Pleach;6
7;Белоглядова Елизавета Яковлевна;79219859052;Эндокринолог;1981-04-13;2,6;BurralWoundy;Nanization;7
8;Бисултанова Марина Васильевна;79214957114;Невролог;1981-05-19;2;Blubbering;Mealymouthed;8
9;Печень Яков Глебович;79216932398;Ортопед;1981-06-24;1,4;Pentagamist;Underwit;9
10;Донгузова Жанна Дмитриевна;79213566497;Хирург;1981-07-30;0,8;Serendipity;Corkscrew;10
11;Потанина Вероника Ефимовна;79217338863;Онколог;1981-09-04;0,2;Cockamamie;Scissile;11
12;Григоревский Степан Тимофеевич;79215807042;Терапевт;1981-10-10;6;Botryoidal;Piddling;12
13;Ищенко Наталья Дамировна;79214598572;Гинеколог;1981-11-15;4;Meninges;Eolation;13
14;Неучкина Олеся Рамилевна;79212857831;Уролог;1981-12-21;8;KkslrFiasco;Squooshy;14
15;Звонарева Маргарита Алексеевна;79217446179;Офтальмолог;1982-01-26;4;Kentledge;Tufthunter;15
16;Тибекина Татьяна Семеновна;79215946462;Эндокринолог;1982-03-03;3;Hyperbole;FexloYawp;16
17;Винаров Тимофей Яковлев;79212268997;Невролог;1982-04-08;3,2;Halophilous;Zackster1Verve;17
18;Безбатько Раиса Валерьевна;79218396702;Ортопед;1982-05-14;2,6;Chimerical;VaccarCankle;18
19;Нелюбин Семен Михаилович;79215607393;Хирург;1982-06-19;2;Patroon;Whirlybird;19
20;Леков Алексей Максимович;79219853482;Онколог;1982-07-25;1,4;Headlong;EnedTuchis;20
21;Несытов Филипп Кириллович;79210950832;Терапевт;1982-08-30;0,8;DubcatPavior;Downhaul;21
22;Ясько Максим Ильдарович;79216133258;Гинеколог;1982-10-05;0,2;Tubthumper;Malapropism;22
23;Шамсутдинов Герман Ярославович;79211855895;Уролог;1982-11-10;6;Sciolism;Evaporimeter;23
24;Догузов Ярослав Максимович;79217112040;Офтальмолог;1982-12-16;4;MissmadFutz;Ice_vSully;1
25;Привизенцев Юрий Кириллович;79213612939;Эндокринолог;1983-01-21;8;Tritavus;Banausic;2
26;Супрунюк Петр Дамирович;79215398876;Невролог;1983-02-26;4;Cjmcool9Shneee;Ruffian;3
27;Мордовцева Лариса Радиковна;79216254212;Ортопед;1983-04-03;3;Acerate;Intercostal;4
28;Буланов Владимир Егорович;79212332733;Хирург;1983-05-09;3,2;OrinMayhem;Spangle;5
29;Дыдорова Валентина Альбертовна;79219549844;Онколог;1983-06-14;2,6;Lunation;Bandolier;6
30;Незнанская Алла Евгеньевна;79217425196;Терапевт;1983-07-20;2;Hawsehole;Didymous;7
31;Лякин Альберт Иванович;79212124344;Гинеколог;1983-08-25;1,4;Kilik0Pogo;Angiology;8
32;Петряевская Альбина Игоревна;79218785127;Уролог;1983-09-30;0,8;Monoploxy;Quicksilver;9
33;Альшевская Юлия Германовна;79217206651;Офтальмолог;1983-11-05;0,2;Nabalism;SuchlikDwaal;10
34;Сенько Дамир Русланович;79219401469;Эндокринолог;1983-12-11;6;Jargogle;Trencherman;11
35;Жидкий Виталий Маратович;79218211767;Невролог;1984-01-16;4;ScutumAfore;Quincurion;12
36;Давлетшина Алиса Леонидовна;79213615996;Ортопед;1984-02-21;8;HopecSalve;Calaboose;13
37;Нездольцева Елизавета Ярославовна;79211648152;Хирург;1984-03-28;4;DcdobsonThewe;Killxthe3Osmol;14
38;Храмченко Галина Германовна;79219234820;Онколог;1984-05-03;3;BenonBonny;Whirligig;15
39;Черневская Мария Борисовна;79215282858;Терапевт;1984-06-08;3,2;Candelabra;Infuscate;16
40;Маштаков Герман Тимофеевич;79212971838;Гинеколог;1984-07-14;2,6;Blunderguff;Hullabaloo;17
41;Аделгареева Лилия Денисовна;79210382803;Уролог;1984-08-19;2;Stellify;Durityman70090;18
42;Дейниченко Альбина Георгиевна;79213721937;Офтальмолог;1984-09-24;1,4;Xylophone;Braggadocio;19
43;Лупин Кирилл Григорьевич;79215583165;Эндокринолог;1984-10-30;0,8;Diffident;Querulist;20
44;Магерамов Валерий Яковлев;79216254645;Невролог;1984-12-05;0,2;Dumbfounded;Telekinesis;21
45;Ауэзова Карина Леонидовна;79217396434;Ортопед;1985-01-10;5;Jugtors13;Belcher;22
46;Маслобоев Данил Германович;79210690075;Хирург;1985-02-15;3;Anchusa;Landlubber;23
47;Табунщиков Артур Борисович;79213384048;Онколог;1985-03-23;1;Iambize;Thaumaturgy;1
48;Иеропольская Виктория Ивановна;79216413860;Терапевт;1985-04-28;2;Quiddle;Footloose;2
49;Шестникова Раиса Леонидовна;79210925363;Гинеколог;1985-06-03;6;Volitient;Lyophile;3
50;Булавина Кира Радиковна;79213243909;Уролог;1985-07-09;3,7;Skullet;Proctor;4
51;Абрамсон Владислав Радикович;79214774160;Офтальмолог;1985-08-14;3,8;Peracute;Clithridiate;5
52;Ларюшина Эльвира Федоровна;79210219826;Эндокринолог;1985-09-19;3,9;Oxymoron;Knickers;6
53;Аржиловская Кира Леонидовна;79212845579;Невролог;1985-10-25;4;Hautlaxrs;Partimhady75;7
54;Сырорыбова Олеся Игоревна;79219439421;Ортопед;1985-11-30;4,1;Superfluous;Bogey;8
55;Коренникова Диана Михаиловна;79210932540;Хирург;1986-01-05;4,2;Sittella;Finical;9
56;Стрелкова Ангелина Игоревна;79216264423;Онколог;1986-02-10;4,3;Folderol;Serendipity;10
57;Кремнева Маргарита Рамилевна;79211837526;Терапевт;1986-03-18;4,4;Planetogeny;Cannikin;11
58;Будилина Римма Рамилевна;79217041260;Гинеколог;1986-04-23;4,5;Ragtag;Schluffy;12
59;Бабиев Данил Аркадьевич;79215351858;Уролог;1986-05-29;4,6;Astichous;Xanthopsia;13
60;Кельчевская Алиса Яковлевна;79218483620;Офтальмолог;1986-07-04;4,7;Rendezvous;Cockamamie;14
61;Ботченко Кирилл Маратович;79211356621;Эндокринолог;1986-08-09;4,8;Mormorando;Xanthochroi;15
62;Бакай Алексей Андреевич;79212554167;Невролог;1986-09-14;4,9;Cheesecake;Cockatoo;16
